id,name,desc,price,quantity
0,Toyota Corolla,En paver och branslesnal kompaktbil,220000.0,5
1,Ford Mustang,En klassisk amerikansk sportbil med V8-motor,600000.0,3
2,Audi A4,En lyxig sedan med avancerad teknik och komfort,450000.0,4
3,Volvo XC90,En saker och rymlig SUV perfekt for familjer,650000.0,2
4,Mercedes-Benz C-Class,En elegant och stilren bil med en kraftfull motor,550000.0,6
5,BMW 320i,En sportig och hogpresterande bil med bra hantering,500000.0,4
7,Chevrolet Bolt,En elbil med lang rckvidd och miljovanliga funktioner,350000.0,3
8,Honda Civic,En popular och bransleeffektiv bil,230000.0,5
9,Porsche 911,En ikonisk sportbil med enastende prestanda,1200000.0,1
10,Nissan Leaf,En budgetvanlig elbil med enkel teknik och bra rackvidd,300000.0,6
11,Ferrari F40,Den finaste Ferrarin som finns,16400000.0,1
